host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8270362,1,21,1.32359,103.8498,2,31,108,0,-1,-1.0,1,365
8408341,1,20,1.31118,103.87367,3,131,14,0,-1,-1.0,1,365
8527085,1,25,1.30341,103.83365,3,300,2,9,20190731,0.19,38,349
8580110,1,5,1.28419,103.82765,2,60,183,0,-1,-1.0,1,365
2413412,1,16,1.28328,103.84329,2,67,90,3,20190302,0.17,112,356
1584407,1,13,1.30415,103.90192,2,165,2,27,20190802,0.39,5,223
8725237,4,26,1.39088,103.85303,2,217,1,0,-1,-1.0,1,365
8739736,2,27,1.34126,103.75992,2,82,14,0,-1,-1.0,1,365
8740203,1,21,1.33917,103.82306,2,89,2,78,20190820,1.1,2,342
8773916,1,10,1.30292,103.858,2,90,1,2,20180102,0.08,7,233
8783465,1,21,1.32389,103.84872,2,131,1,1,20190802,1.0,2,0
8881470,1,16,1.28425,103.8432,1,50,1,134,20190811,1.91,5,301
8881470,1,16,1.28446,103.8446,1,300,1,2,20180311,0.04,5,275
8881470,1,16,1.28467,103.84327,1,50,1,83,20190821,1.22,5,298
8948251,1,16,1.28556,103.84198,2,58,90,0,-1,-1.0,83,355
9046411,1,28,1.29857,103.84748,3,194,14,11,20181208,0.18,1,301
2413412,1,16,1.28459,103.84217,2,56,18,3,20190531,0.08,112,356
9164793,1,16,1.28328,103.84532,2,800,1,3,20180121,0.15,5,0
9238497,5,29,1.44843,103.81538,2,550,180,1,20140308,0.01,1,365
11390076,1,6,1.30626,103.83994,2,85,3,11,20190731,0.39,18,334
9419577,1,11,1.30669,103.80043,2,40,183,0,-1,-1.0,1,88
9457143,1,20,1.31909,103.85741,2,33,180,1,20140717,0.02,1,364
9461671,1,7,1.31435,103.88617,3,169,3,19,20190722,0.28,1,332
9497281,2,30,1.38717,103.74256,2,60,183,0,-1,-1.0,2,365
367042,3,3,1.34566,103.95994,2,90,1,9,20190716,0.15,9,361
6609641,1,18,1.31742,103.82572,3,160,7,24,20190805,0.35,19,365
2999297,3,4,1.31993,103.92342,2,90,2,0,-1,-1.0,2,365
1305358,1,16,1.2819,103.83849,2,50,6,6,20171020,0.09,1,54
367042,3,3,1.34574,103.95945,2,260,1,4,20190605,0.14,9,357
9817303,1,24,1.28968,103.84632,3,219,3,11,20180920,0.57,2,311
7942432,4,26,1.36724,103.84722,2,44,21,0,-1,-1.0,1,0
2413412,1,7,1.31539,103.88257,2,40,18,1,20170325,0.03,112,353
7644641,3,4,1.31944,103.91529,2,68,90,3,20160513,0.05,3,362
7644641,3,4,1.32249,103.92316,2,118,90,2,20160504,0.05,3,363
10260359,1,8,1.29726,103.84263,2,221,90,0,-1,-1.0,1,0
10307677,1,15,1.3377,103.88248,3,140,5,2,20161231,0.05,2,0
7644641,3,4,1.32111,103.92206,2,68,90,5,20150322,0.07,3,365
2999297,3,4,1.31963,103.924,2,94,3,0,-1,-1.0,2,365
6099546,1,22,1.27365,103.84354,3,240,5,8,20150823,0.12,1,0
9900768,1,21,1.32359,103.85063,2,360,30,2,20140719,0.03,3,173
9497281,2,30,1.38768,103.74476,3,118,10,0,-1,-1.0,2,294
10426671,1,15,1.33903,103.88474,2,60,3,49,20190806,0.77,2,345
9900768,1,21,1.32347,103.85213,2,381,5,11,20160911,0.18,3,180
10248444,1,8,1.29815,103.83895,3,140,1,100,20190715,1.46,48,327
10248444,1,8,1.29549,103.83931,3,140,2,107,20190808,1.55,48,323
10691920,2,30,1.38686,103.74468,2,64,4,29,20150315,0.42,2,23
10776798,2,23,1.34891,103.77137,2,69,1,7,20181118,0.14,4,364
1436112,1,16,1.28153,103.84808,3,250,3,163,20190818,2.39,1,29
10861133,1,20,1.31609,103.85813,2,99,1,8,20180807,0.18,11,358
1469421,1,21,1.31642,103.8398,3,89,2,7,20170804,0.18,1,0
7642747,3,4,1.32122,103.91492,3,139,2,323,20190822,4.72,1,239
9900768,1,21,1.32423,103.85293,2,281,3,21,20160930,0.36,3,180
10248444,1,8,1.29488,103.83973,2,87,1,98,20190811,1.44,48,346
10691920,2,30,1.38602,103.74316,2,32,3,60,20190630,0.89,2,0
6157422,4,19,1.36867,103.89905,2,50,4,7,20190820,0.12,2,334
2413412,1,16,1.28388,103.84398,2,50,28,2,20160517,0.04,112,333
11851304,5,1,1.44076,103.77626,2,31,183,5,20140714,0.07,1,365
11990154,1,24,1.29041,103.83482,3,150,365,0,-1,-1.0,1,365
1346787,1,16,1.28448,103.8436,2,69,1,307,20190811,5.44,3,315
12067440,1,20,1.31196,103.85962,2,342,1,23,20190816,0.35,20,357
10248444,1,8,1.29462,103.83855,3,200,1,142,20190808,2.13,48,309
9205954,1,20,1.29907,103.87601,2,58,7,52,20150129,0.77,1,0
12067440,1,20,1.31193,103.85952,2,253,1,2,20170707,0.04,20,356
12067440,1,20,1.31254,103.85963,2,303,1,48,20190722,0.77,20,358
12067440,1,20,1.31201,103.85971,2,54,2,29,20190725,0.99,20,358
12067440,1,20,1.31215,103.85982,2,135,1,50,20190711,1.05,20,360
12067440,1,20,1.31125,103.86083,2,54,2,6,20190209,0.13,20,363
12067440,1,20,1.31054,103.86098,2,462,1,11,20190711,0.2,20,351
5116800,1,2,1.33746,103.78052,3,119,2,3,20180411,0.1,1,118
12134297,5,31,1.35176,103.81967,2,500,1,0,-1,-1.0,1,365
12532802,1,28,1.2942,103.84283,3,108,3,31,20190701,0.47,2,338
10426671,1,15,1.33792,103.88593,2,60,3,57,20190731,0.88,2,350
1346787,1,16,1.283,103.84399,2,89,1,121,20190813,1.96,3,333
1346787,1,16,1.28409,103.84514,2,67,1,19,20190811,0.29,3,0
6473817,1,16,1.28674,103.84073,3,250,90,24,20190228,0.37,2,289
9544894,1,20,1.32692,103.86459,2,40,90,0,-1,-1.0,1,349
13043889,1,5,1.27819,103.83072,2,119,2,1,20181231,0.12,2,365
8948251,1,20,1.31138,103.86104,2,36,28,1,20180630,0.07,83,331
4332365,2,30,1.39245,103.7527,2,1200,13,0,-1,-1.0,1,365
10248444,1,8,1.29773,103.83919,3,128,2,70,20190813,1.08,48,321
13685764,1,21,1.31626,103.84444,2,81,6,43,20190706,0.65,1,215
581033,1,11,1.30699,103.80159,1,69,1,0,-1,-1.0,1,365
4705949,3,4,1.32823,103.94835,2,56,3,21,20190825,0.35,13,73
8492007,1,20,1.31254,103.85068,3,200,4,24,20171223,0.4,203,33
14143199,1,8,1.29519,103.84185,3,150,14,7,20180724,0.11,1,17
14521708,1,7,1.31566,103.8859,3,90,1,52,20190805,0.82,67,45
14521708,1,7,1.31531,103.88561,3,93,5,44,20190717,0.68,67,73
14582974,2,30,1.39834,103.74972,2,31,365,0,-1,-1.0,1,365
10248444,1,8,1.29645,103.83972,3,200,1,97,20190630,1.53,48,315
10248444,1,8,1.29648,103.83877,3,106,1,217,20190803,3.41,48,335
14772025,4,32,1.38769,103.89361,2,25,180,0,-1,-1.0,2,365
1439258,1,11,1.28132,103.7854,2,49,1,8,20190811,0.18,32,350
15067769,1,25,1.30021,103.84288,2,69,90,0,-1,-1.0,2,364
229339,1,5,1.28376,103.83082,3,139,2,17,20190622,0.28,26,338
15295886,1,20,1.31047,103.86096,1,35,1,19,20160406,0.31,3,0
4422603,4,19,1.36103,103.88356,2,83,1,9,20190727,0.15,1,364
7044509,1,28,1.2986,103.84659,2,110,90,6,20190602,0.1,2,215
15666562,1,15,1.33967,103.86901,3,228,60,6,20150925,0.11,1,365
15699865,1,5,1.27811,103.83379,3,254,7,4,20160709,0.06,1,0
15763880,1,20,1.29575,103.86549,3,275,3,0,-1,-1.0,1,0
10248444,1,8,1.29792,103.83781,3,125,2,93,20190807,1.5,48,305
14521708,1,7,1.31601,103.88579,3,92,1,63,20190730,0.99,67,77
7512511,1,20,1.31239,103.85201,3,300,2,3,20150615,0.05,1,0
10861133,1,20,1.31619,103.85983,2,137,1,31,20190318,0.67,11,365
10861133,1,20,1.31472,103.86022,1,44,1,5,20170219,0.08,11,365
10861133,1,20,1.31437,103.86017,2,60,1,2,20190630,0.08,11,342
14521708,1,7,1.31393,103.88749,3,85,5,62,20190630,1.13,67,84
15295886,1,20,1.31086,103.85883,1,37,1,18,20190101,0.28,3,0
15295886,1,20,1.30997,103.86052,2,150,1,0,-1,-1.0,3,0
7095710,1,16,1.28362,103.84552,3,131,2,52,20190812,1.03,12,355
10723468,1,16,1.28378,103.8431,3,126,90,1,20170118,0.03,1,282
8060780,1,16,1.28216,103.84714,2,200,10,17,20150809,0.27,1,365
14521708,1,7,1.31562,103.88586,3,85,60,41,20190320,0.66,67,26
6145399,1,8,1.29508,103.84085,3,181,5,2,20140628,0.03,1,0
16689958,3,3,1.34948,103.96321,2,81,90,10,20180602,0.16,1,362
16792186,1,5,1.28667,103.82935,2,81,1,0,-1,-1.0,1,0
59498,4,26,1.37398,103.83069,2,110,2,43,20190613,0.7,3,355
14297490,3,14,1.36449,103.95931,2,81,180,0,-1,-1.0,1,365
8492007,1,7,1.31228,103.89521,3,200,30,22,20190513,0.35,203,352
17174325,1,13,1.30287,103.9005,3,250,4,0,-1,-1.0,1,0
10248444,1,8,1.29499,103.83852,3,219,2,154,20190727,2.99,48,266
17210305,4,26,1.37664,103.85238,2,221,1,0,-1,-1.0,1,0
10248444,1,8,1.29783,103.83936,3,137,1,179,20190812,2.87,48,288
6385598,4,12,1.3736,103.87644,2,57,2,118,20190802,2.67,1,338
17526618,1,16,1.28318,103.84335,1,31,1,137,20190715,2.25,13,359
17526618,1,16,1.28458,103.84298,1,31,1,80,20181110,1.3,13,46
17916952,4,19,1.36719,103.89234,2,86,10,2,20161008,0.04,2,89
8624816,1,24,1.28955,103.83861,3,206,2,18,20161119,0.29,1,0
3579971,1,2,1.3319,103.76533,3,150,2,41,20190813,0.69,1,25
14006858,1,6,1.31122,103.84108,3,179,7,0,-1,-1.0,1,0
17526618,1,16,1.28496,103.84318,1,31,1,192,20190628,3.1,13,46
17526618,1,16,1.28439,103.84308,1,31,1,177,20190811,2.86,13,46
2413412,1,16,1.2852,103.84216,2,60,90,1,20190528,0.32,112,361
14521708,1,7,1.31492,103.88801,3,89,4,40,20190718,0.66,67,134
17526618,1,16,1.28262,103.84487,1,31,1,18,20181007,0.3,13,365
17526618,1,16,1.28354,103.84331,2,140,2,48,20190818,0.82,13,168
14521708,1,7,1.3155,103.88596,3,85,30,59,20190625,0.96,67,86
10248444,1,8,1.29533,103.83797,3,150,2,220,20190728,3.66,48,260
768164,2,33,1.29798,103.7668,2,44,2,3,20151108,0.06,1,0
14521708,1,7,1.31379,103.88577,3,93,1,25,20190623,0.42,67,84
8773916,1,10,1.30376,103.85923,2,58,1,20,20180210,0.44,7,233
8773916,1,10,1.30171,103.85959,2,90,1,6,20170729,0.1,7,233
10248444,1,8,1.29597,103.8382,3,137,1,63,20190201,1.03,48,337
19710549,2,9,1.34187,103.71115,2,50,2,0,-1,-1.0,1,0
4367042,1,2,1.32986,103.81297,2,150,90,26,20181117,0.53,3,90
19817950,1,18,1.32045,103.82116,3,237,3,61,20190812,1.01,3,36
14521708,1,7,1.31586,103.88559,3,90,1,78,20190708,1.28,67,10
14521708,1,7,1.31565,103.88576,3,94,1,61,20190813,1.0,67,77
3777699,1,7,1.3125,103.89761,3,199,28,75,20190623,1.25,1,163
20041363,2,23,1.3471,103.77532,3,158,12,53,20190808,0.88,1,138
59498,4,26,1.37478,103.83141,2,135,2,26,20190813,0.43,3,360
59498,4,26,1.37326,103.82962,2,125,2,18,20190728,0.3,3,358
20189155,1,5,1.29002,103.82315,2,65,1,5,20160103,0.09,1,0
20250473,1,7,1.31462,103.89173,2,69,14,0,-1,-1.0,1,0
10352561,1,25,1.30459,103.82464,2,122,1,1,20190115,0.13,2,361
9794916,1,10,1.30176,103.85217,3,244,2,77,20190809,2.2,3,74
15455737,2,27,1.34779,103.7442,2,156,1,0,-1,-1.0,1,365
6727323,4,12,1.34518,103.86094,2,69,1,77,20190808,1.27,3,56
8773916,1,10,1.30148,103.85813,2,58,1,28,20180826,0.47,7,233
20546604,4,19,1.37318,103.90152,1,29,90,5,20170211,0.08,1,363
20636569,3,4,1.31808,103.90582,2,78,1,1,20141026,0.02,1,362
8492007,1,20,1.31944,103.86222,3,387,7,47,20190803,0.78,203,262
14521708,1,7,1.31464,103.88672,3,83,1,73,20190731,1.22,67,141
14521708,1,7,1.3137,103.88765,3,90,10,40,20190808,0.68,67,4
8773916,1,10,1.30348,103.85969,2,58,1,10,20171214,0.2,7,233
17320382,2,34,1.33856,103.73562,2,65,1,34,20190730,0.92,1,329
14521708,1,7,1.31633,103.88539,3,90,4,49,20190810,0.83,67,64
12067440,1,20,1.31288,103.85969,2,62,1,21,20190825,0.66,20,358
12067440,1,20,1.31157,103.8598,2,56,1,189,20190816,5.63,20,343
8492007,1,21,1.32772,103.85239,3,358,7,32,20190205,0.54,203,275
20049904,1,16,1.27641,103.84087,2,950,180,0,-1,-1.0,2,365
20785714,1,16,1.28223,103.83867,2,50,180,0,-1,-1.0,1,365
1275947,1,2,1.31995,103.79426,3,160,5,8,20180120,0.2,1,69
14521708,1,7,1.31444,103.88709,3,85,5,41,20190801,0.79,67,123
6609641,1,18,1.31539,103.82586,3,281,7,29,20190717,0.48,19,362
20883050,1,7,1.31131,103.88343,2,60,1,47,20190802,0.8,37,346
14521708,1,7,1.31372,103.88716,3,85,4,72,20190812,1.37,67,69
17526618,1,16,1.28278,103.8445,1,31,1,44,20190811,0.77,13,363
17526618,1,16,1.28332,103.8433,1,31,1,18,20190812,0.31,13,365
21114831,1,24,1.29088,103.83891,2,115,2,0,-1,-1.0,1,0
21022554,1,21,1.31718,103.84287,2,89,2,13,20160811,0.22,2,355
971978,1,5,1.27254,103.8337,3,306,2,188,20190809,3.16,1,324
21313007,1,18,1.29312,103.82979,3,218,2,289,20190815,4.9,1,231
21315137,1,20,1.31409,103.87213,3,249,1,98,20190805,1.64,7,351
21386285,2,9,1.34546,103.72309,3,268,5,4,20170806,0.07,15,365
8492007,1,21,1.32419,103.85284,3,237,5,26,20180125,0.44,203,261
6609641,1,18,1.31566,103.82666,3,118,7,48,20190819,0.81,19,348
10248444,1,8,1.29671,103.83999,2,94,1,100,20190716,1.71,48,336
21386285,2,34,1.33678,103.73758,2,79,5,10,20190727,0.17,15,348
21386285,2,34,1.33669,103.7374,3,258,5,14,20170524,0.33,15,348
912064,1,13,1.30789,103.89646,3,164,14,4,20160626,0.07,1,0
21386285,2,9,1.34702,103.72274,2,62,3,3,20190615,0.05,15,365
21386285,2,9,1.34615,103.72261,2,62,3,1,20150125,0.02,15,365
4773948,1,2,1.33347,103.78634,3,208,1,0,-1,-1.0,1,0
14521708,1,7,1.31503,103.88605,3,94,1,55,20190714,0.95,67,69
22069453,2,34,1.34746,103.73203,2,28,1,0,-1,-1.0,1,0
22176293,1,18,1.29377,103.82844,3,160,30,170,20180824,3.05,1,0
9008551,1,20,1.32712,103.86468,3,131,3,36,20190726,0.63,1,340
16319873,1,5,1.27303,103.82783,2,89,10,1,20180223,0.05,1,0
22590759,1,15,1.33078,103.86782,3,219,1,0,-1,-1.0,1,0
20883050,1,7,1.31025,103.88326,2,60,1,109,20190812,1.86,37,333
20883050,1,7,1.31107,103.88292,2,60,1,102,20190813,1.73,37,346
20883050,1,7,1.31045,103.88114,2,60,1,187,20190812,3.2,37,324
22702828,1,10,1.30115,103.8479,3,224,5,0,-1,-1.0,1,0
11390076,1,6,1.30475,103.84032,2,99,3,6,20190720,0.11,18,364
7614592,1,22,1.27522,103.84696,3,387,2,148,20190816,2.59,14,287
22871633,3,4,1.31467,103.93974,3,137,1,35,20190824,0.6,1,349
22791622,1,16,1.28142,103.84522,3,250,1,2,20151226,0.04,1,0
8492007,1,21,1.32546,103.8519,3,149,3,28,20180712,0.49,203,257
14521708,1,7,1.31473,103.88733,3,92,7,33,20190415,0.62,67,49
23053315,1,20,1.29775,103.88341,3,100,90,4,20150505,0.07,1,209
6727323,4,12,1.34432,103.86255,2,78,1,42,20181015,0.73,3,267
6609641,1,18,1.31652,103.82739,3,240,7,15,20190816,0.26,19,329
